StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,A3SONA,A3ATT,SCI-SP1,SCI-SP2,SCI-SP3,SCI-SP4,SCI-IN1,SCI-IN2,SCI-IN3,SCI-IN4,SCI-GR1,SCI-GR2,SCI-GR3,SCI-GR4,SCI-AP1,SCI-AP2,SCI-AP3,SCI-AP4,SCI-SR1,SCI-SR2,SCI-SR3,SCI-SR4,SCI-ML1,SCI-ML2,SCI-ML3,SCI-ML4,SCI-HE1,SCI-HE2,SCI-HE3,SCI-HE4,TMMS-R1,TMMS-R2,TMMS-R3,TMMS-R4-R,TMMS-R5-R,TMMS-R6-R,TMMS-R7,TMMS-A1-R,TMMS-A2-R,TMMS-A3-R,TMMS-A4,TMMS-A5,TMMS-A6,TMMS-A7-R,TMMS-A8-R,TMMS-A9,TMMS-A10-R,TMMS-A11,TMMS-A12-R,TMMS-A13-R,TMMS-C1-R,TMMS-C2-R,Q62,TMMS-C3-R,TMMS-C4,TMMS-C5-R,TMMS-C6,TMMS-C7-R,TMMS-C8,TMMS-C9,TMMS-C10
2025-05-03 17:34:41,2025-05-03 17:49:41,0,100,900,1,2025-05-03 17:49:42,R_38Mr5LiF4EQD9X4,qr,EN,0.8999999761581421,89662,4,29,29,4,5,5,5,3,3,29,29,29,28,29,28,29,3,4,5,4,2,3,5,2,2,29,29,3,5,4,3,4,2,3,3,3,2,4,4,5,4,2,3,4,4,5,5,4,4,4,5,4,1,5,4,4,5,2,5,4
2025-05-03 21:06:59,2025-05-03 21:11:32,0,100,273,1,2025-05-03 21:11:33,R_6L1pV5zAgssVqdl,anonymous,EN,0.8999999761581421,93256,4,3,5,3,3,29,3,28,5,29,28,28,28,4,4,3,5,4,2,2,3,3,4,4,1,4,4,5,3,2,3,3,2,1,4,5,3,4,2,4,4,4,4,5,3,2,4,3,3,2,3,2,2,4,2,3,2,4,3,3
2025-05-04 11:55:17,2025-05-04 12:10:53,0,100,935,1,2025-05-04 12:10:53,R_6GWafMLuzEK1lTe,qr,EN,0.8999999761581421,92449,4,2,2,1,1,28,4,3,4,5,5,29,29,2,4,3,3,4,3,3,2,2,3,3,1,4,4,29,5,2,3,2,4,4,3,2,2,4,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
2025-05-03 14:27:46,2025-05-03 15:05:17,0,97,2250,0,2025-05-04 15:05:18,R_5fMG9k4Ah7aqthL,qr,EN,0.8999999761581421,85099,4,5,28,5,3,5,3,4,28,28,2,28,28,28,2,3,28,2,3,28,28,28,5,5,28,4,3,28,3,5,3,3,4,3,3,4,2,1,1,5,3,5,3,2,3,3,5,3,1,3,1,1,1,2,3,3,1,3,5,5
2025-05-03 20:29:25,2025-05-03 20:34:18,0,49,292,0,2025-05-04 20:34:26,R_5RaaNfZuLeVn5R6,qr,EN,1,69571,4,4,3,28,2,1,29,2,4,28,5,4,3,29,29,29,28,29,1,5,5,28,5,28,28,28,29,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 11:16:13,2025-05-05 14:33:35,0,100,11842,1,2025-05-05 14:33:35,R_1wRAazBvyczFGFR,qr,EN,0.8999999761581421,79054,4,5,28,29,5,29,29,28,29,28,5,28,5,5,29,28,5,5,5,28,28,5,5,28,28,29,5,28,29,4,4,3,4,4,2,4,4,4,3,4,4,4,3,4,4,4,4,5,3,3,2,2,2,3,2,4,2,4,4,2
2025-05-05 15:46:45,2025-05-05 15:58:08,0,100,683,1,2025-05-05 15:58:09,R_1x0iWwgVh3mrcmB,qr,EN,1,70063,4,5,5,3,4,28,5,5,2,5,28,28,28,28,28,29,4,28,5,3,4,4,4,4,2,29,29,5,28,2,3,2,5,4,4,2,3,5,4,3,4,2,3,4,3,4,3,4,4,2,4,4,4,4,3,3,3,2,4,2
2025-05-05 16:34:27,2025-05-05 16:42:40,0,100,492,1,2025-05-05 16:42:40,R_1WvxJ2gkPUwWMVx,qr,EN,1,taa54@cornell.edu,4,2,1,1,2,28,5,2,3,3,29,28,5,28,4,5,5,1,3,2,29,5,5,4,5,4,29,3,5,1,3,1,2,3,4,4,4,1,4,4,4,4,5,5,4,4,5,5,4,2,4,4,1,3,4,3,4,4,3,2
2025-05-07 21:48:46,2025-05-07 22:11:08,0,100,1342,1,2025-05-07 22:11:09,R_7X5MMpUnBG1AFaU,qr,EN,1,79207,4,3,3,3,5,29,28,28,28,29,28,29,29,4,29,28,29,4,3,2,4,2,1,2,3,29,29,29,28,1,3,3,4,3,4,5,4,4,4,5,4,4,4,5,3,3,3,5,4,1,2,2,3,2,2,4,2,2,2,2
2025-05-08 18:28:07,2025-05-08 19:02:19,0,100,2051,1,2025-05-08 19:02:19,R_7JDVpPrgn3rCRqi,qr,EN,1,91489,4,3,28,4,1,3,4,4,3,4,29,4,29,4,28,5,4,5,4,4,3,3,4,2,5,3,29,5,3,3,3,2,3,5,3,1,4,3,3,4,2,3,2,3,2,5,3,3,3,3,4,4,3,4,4,1,3,2,2,3
2025-05-11 22:49:46,2025-05-11 22:59:16,0,100,570,1,2025-05-11 22:59:17,R_1PNTnDlfAIFhIqe,anonymous,EN,1,72976,4,1,4,1,2,29,28,28,3,28,29,28,28,4,5,2,5,29,5,5,28,2,4,3,3,29,29,28,28,3,2,3,3,2,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,2,2,2,4,4,2,2,2,1,4,4
2025-05-12 19:54:33,2025-05-12 20:00:16,0,100,342,1,2025-05-12 20:00:16,R_5mWajqTh7VYxxOp,qr,EN,1,81739,4,1,29,28,29,28,29,29,29,29,29,29,29,1,29,29,29,29,28,3,5,5,2,3,4,29,29,5,29,2,3,3,2,3,2,1,5,5,5,5,5,5,5,5,5,4,5,5,5,2,4,4,4,4,3,2,2,5,1,4
2025-05-15 21:02:57,2025-05-15 21:07:31,0,100,273,1,2025-05-15 21:07:32,R_6CvzFXU7PGkbSva,qr,EN,1,75361,4,28,28,28,3,29,29,4,4,29,29,29,29,28,29,28,5,28,29,28,29,28,3,2,2,29,29,29,29,3,2,2,4,4,4,4,4,5,5,4,5,5,4,4,5,5,5,4,5,1,4,4,2,2,2,3,2,2,2,1
2025-05-21 18:18:46,2025-05-21 18:24:08,0,100,322,1,2025-05-21 18:24:09,R_16mwx6C8413Vo1Z,anonymous,EN,1,78976,4,5,3,3,3,5,5,5,3,28,5,28,28,28,5,5,4,4,4,28,4,5,5,4,3,5,5,3,3,3,2,3,5,4,4,2,3,4,3,3,2,2,3,3,2,3,3,5,4,3,2,3,4,2,3,3,3,2,3,3
2025-05-23 00:38:58,2025-05-23 00:44:31,0,99,333,0,2025-05-24 00:44:36,R_72nM7wD8BWKLXiV,qr,EN,0.8999999761581421,92428,4,28,29,5,29,29,29,29,5,28,28,29,29,29,29,5,28,28,5,29,28,28,29,29,4,5,5,5,28,2,3,2,4,4,4,1,3,4,5,4,4,3,4,5,5,2,5,4,3,2,4,4,4,4,2,2,2,1,4,2
2025-05-31 16:08:17,2025-05-31 16:16:39,0,100,501,1,2025-05-31 16:16:40,R_5MrMzuzTjIcLRzX,qr,EN,0.8999999761581421,91489,4,3,1,3,1,4,1,1,2,28,28,29,29,4,4,4,1,29,5,29,4,2,2,1,3,28,5,29,4,2,5,2,5,5,4,5,4,3,1,3,4,2,3,5,2,4,3,5,4,5,4,5,3,5,2,5,5,3,4,4
2025-06-05 12:15:06,2025-06-05 12:22:42,0,100,456,1,2025-06-05 12:22:43,R_3QaXQMd6nmNQRCp,anonymous,EN,0.8999999761581421,82264,4,3,28,4,4,5,5,28,4,29,29,29,29,4,29,28,28,29,4,5,28,4,4,4,4,5,28,28,29,2,4,3,4,3,4,4,5,5,4,4,4,2,4,5,5,5,4,5,5,2,2,4,3,3,4,2,3,2,2,2
